num,avg,std,rd,sd
2,0.8583973942344107,0.0505806576043466,0.0007027168222492638,153.5874
3,0.8801355480595584,0.04967616313572918,2.6874230226805214e-05,11.228613
4,0.8742112853648809,0.04907785856691879,1.0779224211850442e-05,5.173478
5,0.8528935882811225,0.062351731681390285,0.00030004635066411097,42.37403
6,0.8570054857862092,0.05248433808653382,0.0004013415261343768,85.7478
7,0.8558632648146043,0.05607438257443204,0.0006702314890080707,136.04155
9,0.8623761153393745,0.05310168753379778,4.9613963495640396e-05,12.456815
10,0.8749108173223616,0.054534785033689186,5.212419379155077e-05,16.648104
11,0.8571470807089833,0.0644743845407,6.438002405981908e-05,16.284023
12,0.87382104295536,0.051096714141827496,1.993418176164123e-05,7.3476915
13,0.880438469048615,0.04790927566408339,2.7760193860655934e-05,8.707762
14,0.85285605982724,0.056674917778079655,0.0003695944959213926,81.38498
15,0.8692340503668988,0.056602249273032965,5.62586907495208e-05,25.524454
16,0.8776181585284737,0.05129522314463152,4.2083272607909265e-05,17.965267
17,0.8526740450476102,0.06033187534727637,0.00010232879970975831,28.936834
18,0.86149311462906,0.052193153623283375,0.00017527313889680103,55.907272
19,0.8818363012214903,0.04825850656660881,2.5840605987312704e-05,7.8530736
20,0.8738015744418242,0.048640148415728626,1.2698812085193673e-05,1.790887
21,0.8280410293229832,0.07144236575615018,0.00010823522393542979,72.982765
22,0.8775861715241776,0.047324340299902935,7.279667858140094e-05,28.921535
23,0.8729695969000967,0.0490080839075792,7.42732846378188e-05,36.70568
25,0.8335847322790172,0.06786531204166536,0.0003344512717786473,53.189972
26,0.8679196576024444,0.051358842500583944,4.149263018534212e-05,14.002204
27,0.845576814165079,0.0588463980433157,6.748089677829661e-05,23.826855
28,0.8702819450534472,0.054504834485081956,5.640635135516259e-05,26.997421
29,0.8516254276562644,0.056629337166582173,0.00016301730862853273,18.574085
30,0.8675697947855537,0.05105916416799662,2.0672484789850165e-05,5.30851
31,0.8294352005744258,0.07641133060680072,5.2862496819759706e-05,18.829931
32,0.8747796018970619,0.05183311574263569,2.421633932525305e-05,9.452799
33,0.8745957179198827,0.0497989674222319,1.3880096930327967e-05,4.1237583
34,0.8545404405782829,0.05323025534074872,0.0006057038043426098,100.39972
35,0.8783344299102758,0.049695029508115066,9.450278761074361e-06,5.3249755
37,0.8619406711059042,0.05275424357790367,1.5356702986745835e-05,2.5565414
38,0.8533877449968831,0.05608286732171426,0.00010395306637181797,25.785904
39,0.8814572240077826,0.04694711336447202,6.792387859522197e-06,2.810545
40,0.86535567392895,0.04867181566758422,0.00014145886020483183,21.669025
41,0.871902344766543,0.05441232109043776,2.421633932525305e-05,11.269814
42,0.8777501143390982,0.050900853038513216,1.904821812779051e-05,5.6939993
43,0.848978080544031,0.060868143455721384,0.00019314007217945725,38.073784
44,0.8501392050973612,0.05408263424365313,0.0010687674636352534,186.80785
45,0.8463969517337953,0.06042112914675014,0.0011173478028914015,268.19016
46,0.8524365948006517,0.06476324695562458,2.805551507193951e-06,0.64969635
47,0.8643348665235014,0.05626422286447035,1.5061381775462262e-05,5.0295677
49,0.8392096669667674,0.0613792412049373,0.0014113400687241992,221.4593
